"latitude","longitude","ID"
"2.2594248","48.9284019","459"
"2.3142252","48.8717562","460"
"2.3201536","48.8450964","461"
"2.3233789","48.844035","462"
"2.3785321","48.8961568","463"
"2.3803151","48.8960684","464"
"2.3817655","48.8959021","465"
"2.3857394","48.8976232","466"
"2.3854683","48.8976299","467"
"2.3788526","48.89602","468"
"2.3775527","48.8964013","469"
"2.3758652","48.8963452","470"
"2.3029798","48.8321268","471"
"2.3483915","48.8534951","472"
"2.3659191","48.8710194","473"
"2.3727924","48.86067","474"
"2.3721921","48.8606959","475"
"2.3722519","48.8612654","476"
"2.372084","48.8620607","477"
"2.3658451","48.8773757","478"
"2.3706202","48.8783225","479"
"2.3706681","48.8780281","480"
"2.3562982","48.8396207","481"
"2.3559577","48.8411637","482"
"2.351859","48.8408315","483"
"2.3550618","48.8435773","484"
"2.4738802","48.8201901","485"
"2.5213096","48.8528824","486"
"2.4341666","48.8404823","487"
"2.4345771","48.8450039","488"
"2.4364323","48.844796","489"
"2.4401696","48.847941","490"
"2.4470639","48.843687","491"
"2.4476134","48.843405","492"
"2.4517448","48.8376367","493"
"2.4551194","48.833906","494"
"2.4943359","48.8308047","495"
"2.5086927","48.8286633","496"
"2.3442585","48.8311038","497"
"2.314927","48.9378936","498"
"2.3325815","48.9276","499"
"2.3437547","48.9230949","500"
"2.3732561","48.9209677","501"
"2.3988458","48.9257948","502"
"2.1775195","49.0031375","503"
"2.1985799","48.9924182","504"
"2.2708433","48.9604892","505"
"2.2281763","48.9795405","506"
"2.2341518","48.9769014","507"
"2.235304","48.8877076","508"
"2.2357779","48.887368","509"
"2.2368083","48.887028","510"
"2.2379488","48.8868836","511"
"2.2401361","48.8868044","512"
"2.2406088","48.8868197","513"
"2.2418049","48.8869769","514"
"2.2434052","48.8872787","515"
"2.2602154","48.8847464","516"
"2.2603676","48.8844343","517"
"2.2606272","48.8845227","518"
"2.2608162","48.8848677","519"
"2.2606331","48.8849591","520"
"2.2604412","48.8849439","521"
"2.2604172","48.8845388","522"
"2.2551245","48.8742514","523"
"2.2552743","48.8742419","524"
"2.2550267","48.8742142","525"
"2.2552036","48.8739726","526"
"2.2553492","48.8742024","527"
"2.6975203","48.9838112","528"
"2.7083695","48.9860862","529"
"2.6712746","48.9657199","530"
"2.6718703","48.9655602","531"
"2.6729005","48.9654612","532"
"2.6750966","48.9647207","533"
"2.6963878","48.9845027","534"
"2.7054139","48.9865259","535"
"2.3470973","48.883327","536"
"2.3512804","48.8837384","537"
"2.359496","48.8773821","538"
"2.3593859","48.8844719","539"
"2.1770214","49.0034991","540"
"2.1769369","49.0034405","541"
"2.167856","49.0083749","542"
"2.1677919","49.0083102","543"
"2.1883256","48.9886148","544"
"2.1938284","48.9927756","545"
"2.2155555","48.9906733","546"
"2.1874508","48.9928141","547"
"2.1822807","48.9978125","548"
"2.1820539","48.992439","549"
"2.3466024","48.8819948","550"
"2.3376862","48.8821918","551"
"2.3294502","48.884409","552"
"2.3278389","48.883497","553"
"2.3275098","48.8833741","554"
"2.3467659","48.8832386","555"
"2.664901","48.9570047","556"
"2.6365754","48.9543225","557"
"2.5879046","48.9482762","558"
"2.5791158","48.946068","559"
"2.4955643","48.9100809","560"
"2.4006965","48.8957269","561"
"2.6633203","48.9647073","562"
"2.3449903","48.8349574","563"
"2.3416015","48.8348131","564"
"2.3369678","48.834607","565"
"2.3321859","48.8350197","566"
"2.3511666","48.8365716","567"
"2.338428","48.8491789","568"
"2.3327614","48.8487084","569"
"2.3295628","48.8478164","570"
"2.327171","48.8500298","571"
"2.3254183","48.8489858","572"
"2.3191514","48.8455173","573"
"2.3256","48.870481","574"
"2.3255925","48.8706339","575"
"2.3234429","48.8696989","576"
"2.3044406","48.8874309","577"
"2.3048345","48.8875609","578"
"2.3045704","48.8872133","579"
"2.307214","48.8852245","580"
"2.2886284","48.888111","581"
"2.2917325","48.89056","582"
"2.2785947","48.8991411","583"
"2.2747988","48.9026034","584"
"2.2678293","48.9035991","585"
"2.2662436","48.9059063","586"
"2.2616249","48.9124643","587"
"2.2495994","48.9232495","588"
"2.2472099","48.9255031","589"
"2.237908","48.9254991","590"
"2.2375621","48.925526","591"
"2.2365303","48.925617","592"
"2.2351367","48.9257486","593"
"2.2354216","48.9254602","594"
"2.2353831","48.9244585","595"
"2.2354216","48.9242916","596"
"2.2355602","48.9241702","597"
"2.2358374","48.9240437","598"
"2.309542","48.8539546","599"
"2.3267289","48.8107558","600"
"2.3241906","48.8611157","601"
"2.340543","48.8161397","602"
"2.3118689","48.7792089","603"
"2.6828028","48.7017042","604"
"2.5431079","48.7259765","605"
"2.672106","48.7029924","606"
"2.297972","48.8491834","607"
"2.2888812","48.854607","608"
"2.2925412","48.8508608","609"
"2.2942133","48.8537908","610"
"2.2907412","48.8527335","611"
"2.2905797","48.85246","612"
"2.3305052","48.810492","613"
"2.3360465","48.8242169","614"
"2.3258832","48.8544424","615"
"2.2920774","48.8529872","616"
"2.3248451","48.8708899","617"
"2.3210697","48.820801","618"
"2.3577985","48.8345661","619"
"2.355231","48.837903","620"
"2.3559244","48.838127","621"
"2.3531912","48.8348738","622"
"2.3525166","48.8358433","623"
"2.3542155","48.8334002","624"
"2.3570473","48.8384835","625"
"2.3577637","48.8387118","626"
"2.356594","48.8397034","627"
"2.3562253","48.8315688","628"
"2.3514112","48.8331243","629"
"2.3515369","48.8333677","630"
"2.3493198","48.8377845","631"
"2.3485695","48.8357429","632"
"2.3505487","48.8350839","633"
"2.3526626","48.8280679","634"
"2.3528161","48.8289792","635"
"2.3496776","48.8294266","636"
"2.345941","48.8306297","637"
"2.3484799","48.8299337","638"
"2.3483135","48.829663","639"
"2.3470729","48.8330037","640"
"2.3484769","48.8359953","641"
"2.3558292","48.8415849","642"
"2.3521371","48.8426898","643"
"2.35171","48.8404698","644"
"2.2957148","48.8723375","645"
"2.2952715","48.872278","646"
"2.2948477","48.8722776","647"
"2.293864","48.8724866","648"
"2.29339","48.874825","649"
"2.2947935","48.8752723","650"
"2.2940437","48.8751355","651"
